Strain,Experimental,GSMM,Binary_Experimental,Binary_GSMM,ML_prediction
A02_34,16.6236928988882,0.504561970989818,1,0,0
A02_35,17.9137230290852,0.498977563148626,1,0,1
A02_36,16.3507510730865,0.985481182443693,1,0,1
A02_37,15.9934548419652,0.935772603299161,0,0,1
A02_38,16.9771116039423,0.458443521578046,1,0,0
A02_39,18.3248875335566,2.08885854620936,1,1,0
A02_40,18.0367530390014,0.668253511461938,1,0,1
A02_41,16.9726547968987,0.867199005785521,1,0,1
A02_43,16.8926962517254,1.00370828586968,1,0,0
A02_44,16.693592390807,2.06731748111899,1,1,0
A02_45,16.0331647556165,0.973325579010364,0,0,0
A02_46,15.5109919984486,1.03633314813395,0,0,1
A02_47,16.3151076777913,0.871384762782894,0,0,1
A02_48,16.4372615771301,0.945809386894728,1,0,0
A02_49,15.9627782947757,0.992642169846595,0,0,0
A02_50,17.3653334041948,2.06837267445581,1,1,0
A02_51,16.9746985311344,1.01314067896261,1,0,1
A02_52,15.8742016495888,0.957098876689163,0,0,0
A02_53,17.4680963535425,0.560615715356765,1,0,1
A02_55,16.383291360285,1.93947091716738,1,1,0
A02_56,17.1385178161156,2.05084744468193,1,1,1
A02_57,16.7807539959301,2.09230616248111,1,1,1
A02_58,14.9079638979276,2.0619745528371,0,1,0
A02_59,16.1905489803096,0.902564695506235,0,0,1
A02_60,15.8750373187915,1.74117252618866,0,1,0
A02_61,15.5974842559213,0.931937681795091,0,0,0
